index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sz399905,2016-09-09,6518.67,6471.05,6470.9,6539.35,7867246300.0,95311300000.0,-0.00720008346144
sz399905,2016-09-08,6489.62,6517.98,6478.65,6518.33,7246413500.0,87823610000.0,0.00364472900123
sz399905,2016-09-07,6490.33,6494.31,6483.09,6529.81,9319020900.0,1.0943148e+11,0.000206377050872
sz399905,2016-09-06,6392.61,6492.97,6345.69,6493.35,8682608700.0,1.0482852e+11,0.0158296815133
sz399905,2016-09-05,6372.62,6391.79,6372.62,6419.75,6543463900.0,76419150000.0,0.00548061570407
sz399905,2016-09-02,6371.49,6356.95,6320.48,6403.57,6750696300.0,78519550000.0,-0.00384393588948
sz399905,2016-09-01,6434.26,6381.48,6380.9,6445.43,7188610900.0,81004500000.0,-0.00819525629409
sz399905,2016-08-31,6422.8,6434.21,6390.7,6441.11,6527700500.0,75033510000.0,0.00131657783138
sz399905,2016-08-30,6428.96,6425.75,6413.71,6459.71,6158835200.0,74080580000.0,-0.000276933752157
sz399905,2016-08-29,6409.12,6427.53,6398.78,6442.4,6895657000.0,82355640000.0,0.0026206063896
sz399905,2016-08-26,6395.77,6410.73,6395.73,6460.87,7478579400.0,88200840000.0,0.00441201584941
sz399905,2016-08-25,6398.56,6382.57,6312.65,6398.56,7972243100.0,90859890000.0,-0.00815687810215
sz399905,2016-08-24,6432.88,6435.06,6415.7,6466.62,7386234400.0,83336140000.0,0.000989313547062
sz399905,2016-08-23,6414.98,6428.7,6380.92,6448.54,8057296300.0,86882140000.0,0.00130055215058
sz399905,2016-08-22,6499.75,6420.35,6419.56,6508.8,9236915300.0,1.0190782e+11,-0.0121854589933
sz399905,2016-08-19,6485.72,6499.55,6451.61,6516.98,9182709900.0,1.0080766e+11,0.00140823152929
sz399905,2016-08-18,6485.93,6490.41,6466.4,6527.2,11041553500.0,1.202479e+11,0.000315950409657
sz399905,2016-08-17,6462.05,6488.36,6437.26,6502.14,9578850800.0,1.1022155e+11,0.00300978993305
sz399905,2016-08-16,6449.91,6468.89,6446.24,6488.7,10971284000.0,1.3036464e+11,0.00409156030317
sz399905,2016-08-15,6309.41,6442.53,6289.72,6451.93,11798146800.0,1.3618872e+11,0.0227715431912
sz399905,2016-08-12,6218.35,6299.09,6204.96,6299.09,6863547800.0,77608880000.0,0.0116891063889
sz399905,2016-08-11,6304.78,6226.31,6226.31,6318.98,7068452700.0,84068500000.0,-0.0145546170075
sz399905,2016-08-10,6336.54,6318.27,6314.51,6366.09,7719742400.0,91372970000.0,-0.00367102679944
sz399905,2016-08-09,6283.29,6341.55,6281.07,6341.72,7816512200.0,92794680000.0,0.00807374625641
sz399905,2016-08-08,6191.65,6290.76,6152.58,6290.9,7704788000.0,87087720000.0,0.0141005821105
sz399905,2016-08-05,6231.52,6203.29,6202.86,6251.4,6754335600.0,81408220000.0,-0.00560094770472
sz399905,2016-08-04,6194.2,6238.23,6174.24,6245.3,7055639400.0,84228160000.0,0.00642747552187
sz399905,2016-08-03,6154.47,6198.39,6140.83,6203.61,6868695100.0,80885120000.0,0.00484395745488
sz399905,2016-08-02,6100.75,6168.51,6099.25,6168.68,5580505600.0,66288100000.0,0.00969508681874
sz399905,2016-08-01,6179.2,6109.28,6046.4,6179.2,7291022100.0,87691640000.0,-0.0150913525792
sz399905,2016-07-29,6239.85,6202.89,6183.16,6259.2,7268133200.0,90326550000.0,-0.00647094720892
sz399905,2016-07-28,6220.92,6243.29,6148.86,6273.38,9131871200.0,1.1443892e+11,0.00224744714085
sz399905,2016-07-27,6499.34,6229.29,6154.46,6515.88,13852789300.0,1.7467331e+11,-0.0408316613981
sz399905,2016-07-26,6410.82,6494.47,6410.82,6494.74,8155655600.0,1.0316681e+11,0.0133707195441
sz399905,2016-07-25,6383.56,6408.78,6374.25,6441.32,8109003900.0,1.0567117e+11,0.00279458982431
sz399905,2016-07-22,6437.88,6390.92,6385.25,6448.37,8644549300.0,1.1481455e+11,-0.00803854278712
sz399905,2016-07-21,6414.8,6442.71,6405.6,6487.02,8743792600.0,1.1736396e+11,0.00386262215796
sz399905,2016-07-20,6429.69,6417.92,6404.15,6454.18,7482030800.0,1.0144529e+11,-0.00217974670162
sz399905,2016-07-19,6407.03,6431.94,6355.48,6431.94,8096187200.0,1.0930825e+11,0.00309884327526
sz399905,2016-07-18,6426.85,6412.07,6379.06,6455.46,8933062800.0,1.1629951e+11,-0.00449462973256
sz399905,2016-07-15,6459.62,6441.02,6409.8,6469.04,9319290400.0,1.2033771e+11,-0.00225541314646
sz399905,2016-07-14,6437.28,6455.58,6410.4,6458.29,9527158100.0,1.2487734e+11,0.00139919585019
sz399905,2016-07-13,6413.81,6446.56,6392.4,6456.77,11212208100.0,1.4346736e+11,0.00804048074006
sz399905,2016-07-12,6309.82,6395.14,6248.93,6395.44,11687378800.0,1.4846857e+11,0.0130914851485
sz399905,2016-07-11,6320.06,6312.5,6306.13,6387.07,10366286600.0,1.3977139e+11,0.00200798431709
sz399905,2016-07-08,6308.06,6299.85,6276.83,6337.07,8806474100.0,1.1685624e+11,-0.00315516813059
sz399905,2016-07-07,6291.06,6319.79,6256.27,6342.43,11245359700.0,1.5162561e+11,0.00355543557659
sz399905,2016-07-06,6250.49,6297.4,6231.54,6299.73,9506962200.0,1.2187595e+11,0.00445011563921
