index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sh000046,2009-10-29,2986.34,2970.13,2962.62,3007.26,4870754400.0,60387988091.0,-0.021816511163
sh000046,2009-10-28,2999.65,3036.37,2972.26,3037.0,5163907300.0,61935517856.0,0.00931843739581
sh000046,2009-10-27,3068.05,3008.34,3007.65,3074.82,5993351800.0,75927922795.0,-0.0275045095719
sh000046,2009-10-26,3097.99,3093.42,3061.61,3104.02,5934093500.0,72616106437.0,0.000572833462013
sh000046,2009-10-23,3046.38,3091.65,3046.38,3108.78,7064221100.0,86424412046.0,0.0163786381084
sh000046,2009-10-22,3039.98,3041.83,3026.74,3065.46,5373006000.0,65827758070.0,-0.00120833699994
sh000046,2009-10-21,3057.78,3045.51,3041.27,3084.12,6879064900.0,83437112511.0,-0.00606574080299
sh000046,2009-10-20,3047.13,3064.09,3032.72,3064.7,7194177600.0,90675847393.0,0.0118742976292
sh000046,2009-10-19,2952.21,3028.14,2946.51,3028.57,6081593900.0,76658207472.0,0.025728079865
sh000046,2009-10-16,2950.36,2952.18,2903.11,2963.37,4531966700.0,55716747981.0,0.00359360785855
sh000046,2009-10-15,2953.85,2941.61,2923.0,2973.64,4741406300.0,57264537644.0,0.00167194356118
sh000046,2009-10-14,2915.9,2936.7,2914.05,2971.26,5932940800.0,72082172154.0,0.00994190439278
sh000046,2009-10-13,2859.15,2907.79,2853.21,2908.5,3969332500.0,47399048372.0,0.0149874897726
sh000046,2009-10-12,2877.29,2864.86,2839.99,2892.04,4282793300.0,52938239000.0,0.000990558769485
sh000046,2009-10-09,2772.97,2862.02,2767.99,2862.57,4048304500.0,46596755479.0,0.054672696412
sh000046,2009-09-30,2707.61,2713.66,2707.61,2749.58,2905313400.0,33265588069.0,0.0099789865143
sh000046,2009-09-29,2719.0,2686.85,2635.68,2733.59,3386206500.0,36732738521.0,-0.0119950019599
sh000046,2009-09-28,2806.89,2719.47,2703.79,2833.27,3386933900.0,39037868168.0,-0.0286608460597
sh000046,2009-09-25,2813.9,2799.71,2784.7,2836.0,3400609000.0,40416454029.0,-0.0110896667872
sh000046,2009-09-24,2827.32,2831.1,2751.22,2871.02,4770471800.0,56484698478.0,-0.00517843407274
sh000046,2009-09-23,2923.72,2845.84,2823.78,2955.78,5348190100.0,63762388990.0,-0.0290304057385
sh000046,2009-09-22,3000.24,2930.93,2930.51,3030.18,6149981100.0,75439093383.0,-0.0257460740511
sh000046,2009-09-21,2940.9,3008.38,2883.71,3010.36,6435291300.0,76956582730.0,0.0118078629174
sh000046,2009-09-18,3081.51,2973.27,2944.05,3091.07,8769351600.0,1.00803e+11,-0.0334336870583
sh000046,2009-09-17,3017.38,3076.12,3017.38,3086.47,8584060000.0,1.02219e+11,0.0212946301104
sh000046,2009-09-16,3010.14,3011.98,2954.55,3037.44,7848852700.0,95666243881.0,-0.00182172059638
sh000046,2009-09-15,3003.51,3017.48,2975.63,3036.25,7839272400.0,90382455182.0,0.00632379694616
sh000046,2009-09-14,2947.69,2998.52,2946.13,3007.23,7765202500.0,88537006052.0,0.0211937946057
sh000046,2009-09-11,2875.43,2936.28,2873.17,2953.73,6112051000.0,73331109130.0,0.0169899869425
sh000046,2009-09-10,2903.2,2887.23,2874.22,2925.54,5527305800.0,66231216156.0,-0.00949124771518
sh000046,2009-09-09,2904.12,2914.9,2866.08,2920.68,6708450800.0,84985320200.0,0.0072382063402
sh000046,2009-09-08,2812.71,2893.95,2781.7,2894.42,6520832300.0,84258606097.0,0.0222341614494
sh000046,2009-09-07,2816.01,2831.0,2800.87,2863.69,6601033700.0,79375510429.0,0.0103439661387
sh000046,2009-09-04,2758.56,2802.02,2742.92,2817.09,6585270900.0,78204381359.0,0.0166158543775
sh000046,2009-09-03,2620.31,2756.22,2615.86,2763.56,6008425400.0,67904423597.0,0.0548835703312
sh000046,2009-09-02,2576.16,2612.82,2559.71,2625.88,3759983900.0,40868091195.0,0.00936614981899
sh000046,2009-09-01,2581.92,2588.58,2549.14,2645.54,4400257900.0,48361575816.0,-0.0089094039582
sh000046,2009-08-31,2772.74,2611.85,2608.34,2772.74,5559970000.0,61536237217.0,-0.0719121860946
sh000046,2009-08-28,2892.91,2814.22,2800.48,2903.62,5614694700.0,64635041654.0,-0.0297943872522
sh000046,2009-08-27,2876.78,2900.65,2855.3,2939.2,6900276900.0,77236866284.0,0.00355351691268
sh000046,2009-08-26,2795.11,2890.38,2776.96,2915.73,6637380100.0,75957760309.0,0.0255892024118
sh000046,2009-08-25,2861.04,2818.26,2734.54,2861.04,7151703100.0,82039416790.0,-0.0209180498952
sh000046,2009-08-24,2833.99,2878.47,2807.88,2890.75,6301852100.0,75054434492.0,0.0188242822765
sh000046,2009-08-21,2749.62,2825.29,2728.27,2827.17,6141434500.0,69652859135.0,0.025849507733
sh000046,2009-08-20,2651.45,2754.1,2651.28,2757.05,5166978100.0,59234150263.0,0.0398583515604
sh000046,2009-08-19,2797.76,2648.53,2621.17,2803.32,5408188600.0,59816756161.0,-0.052937649044
sh000046,2009-08-18,2717.82,2796.57,2701.53,2807.65,4928557000.0,54390559120.0,0.0182968214967
sh000046,2009-08-17,2899.43,2746.32,2743.86,2917.64,5852155000.0,67158959061.0,-0.0685675234314
sh000046,2009-08-14,3067.63,2948.5,2947.8,3075.95,6102619900.0,76083625290.0,-0.0369965738772
sh000046,2009-08-13,3044.72,3061.77,2990.18,3072.05,5384612200.0,69351588636.0,0.00635874552659
